ID,orgao
101117,T2
101059,T2
100869,TP
100854,TP
101056,TP
101060,TP
101061,TP
101062,TP
101063,TP
101064,TP
101001,TP
101002,TP
101004,TP
100969,TP
100989,TP
101088,TP
101089,TP
101091,TP
100851,TP
100853,TP
101085,TP
101007,TP
101008,TP
101029,TP
101030,TP
101031,TP
100831,TP
100889,TP
101071,TP
101054,TP
101084,TP
101003,TP
101129,TP
101130,TP
101131,TP
101119,TP
101132,TP
100849,TP
101079,TP
101090,TP
101121,TP
101120,TP
101122,TP
101034,TP
100949,TP
100909,TP
101103,TP
101010,T1
101011,T1
101012,T1
101013,T1
101014,T1
101015,T1
100992,T1
101017,T1
101018,T1
100994,T1
100996,T1
101023,T1
100998,T1
100991,T1
100993,T1
101016,T1
100995,T1
100997,T1
101019,T1
101020,T1
101021,T1
101022,T1
100999,T1
101000,T1
100870,T1
100852,T1
100871,T1
101094,T1
101077,T1
101095,T1
101097,T1
101081,T1
101098,T1
101099,T1
101100,T1
101101,T1
101083,T1
100850,T1
101092,T1
101078,T1
101080,T1
101087,T1
100832,T1
100833,T1
100834,T1
100929,T1
100990,T1
101009,T1
101069,T1
101070,T1
101053,T1
101105,T1
100951,T2
101082,T2
101108,T2
100970,T2
100950,T2
100971,T2
100952,T2
100953,T2
100954,T2
101032,T2
101033,T2
101104,T2
101109,T2
101110,T2
101111,T2
101112,T2
101113,T2
101115,T2
101076,T2
101065,T2
101066,T2
101067,T2
101068,T2
101086,T2
100809,T2
101025,T2
101026,T2
101027,T2
101028,T2
101049,T2
101050,T2
101051,T2
101052,T2
101055,T2
101072,T2
101073,T2
101057,T2
101058,T2
101074,T2
101096,T2
101118,T2
101114,T2
101116,T2
101106,T2
101107,T2
101117,T2
101059,T2
100869,TP
100854,TP
101056,TP
101060,TP
101061,TP
101062,TP
101063,TP
101064,TP
101001,TP
101002,TP
101004,TP
100969,TP
100989,TP
101088,TP
101089,TP
101091,TP
100851,TP
100853,TP
101085,TP
101007,TP
101008,TP
101029,TP
101030,TP
101031,TP
100831,TP
100889,TP
101071,TP
101054,TP
101084,TP
101003,TP
101129,TP
101130,TP
101131,TP
101119,TP
101132,TP
100849,TP
101079,TP
101090,TP
101121,TP
101120,TP
101122,TP
101034,TP
100949,TP
100909,TP
101103,TP
